Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_HashCollision;Beta_AllEqual;Beta_LineChain,38.302,22.353,16.099,18.237,35.731,23.836,13.379,36.753,20.604,11.518,EVOLVING,2000.0,68,38,38,38
2,Beta_LineChain;Gamma_LoadFactor;Alpha_Reversed,38.302,22.353,69.224,18.237,78.675,23.836,81.367,36.753,20.604,11.518,EVOLVING,2000.0,71,40,40,78
3,Gamma_Sawtooth;Alpha_StarGraph;Beta_AllEqual,38.302,22.353,69.224,96.176,78.675,23.836,81.367,120.074,119.668,11.518,EVOLVING,2000.0,74,37,37,115
4,Beta_LineChain;Alpha_Reversed;Beta_ModuloStep,38.302,146.639,69.224,96.176,135.695,23.836,124.084,120.074,119.668,11.518,EVOLVING,2000.0,66,35,35,150
5,Beta_AllEqual;Gamma_Disconnected;Gamma_Sawtooth,38.302,146.639,69.224,96.176,135.695,144.968,124.084,174.997,184.026,11.518,EVOLVING,2000.0,74,32,32,182
6,Gamma_Sawtooth;Delta_Extremist;Beta_AllEqual,38.302,146.639,69.224,96.176,135.695,144.968,124.084,187.677,185.127,183.361,EVOLVING,2000.0,80,40,40,222
7,Beta_AllEqual;Beta_LineChain;Gamma_LoadFactor,38.302,146.639,193.511,96.176,228.667,144.968,124.084,204.903,185.127,183.361,EVOLVING,2000.0,77,34,34,256
8,Beta_ModuloStep;Beta_AllEqual;Alpha_HashCollision,258.755,211.218,193.511,96.176,228.667,144.968,124.084,225.764,185.127,183.361,EVOLVING,2000.0,77,38,38,294
9,Delta_Extremist;Gamma_Disconnected;Beta_LineChain,258.755,211.218,193.511,96.176,239.025,243.574,124.084,225.764,185.127,250.258,EVOLVING,2000.0,77,37,37,331
10,Gamma_LoadFactor;Beta_ModuloStep;Beta_LineChain,258.755,281.401,279.1,96.176,298.773,243.574,124.084,225.764,185.127,250.258,EVOLVING,2000.0,71,35,35,366
11,Alpha_StarGraph;Gamma_Disconnected;Delta_Extremist,258.755,281.401,279.1,282.542,298.773,267.669,124.084,225.764,185.127,277.895,EVOLVING,2000.0,73,32,32,398
12,Gamma_Disconnected;Delta_Extremist;Gamma_LoadFactor,258.755,281.401,303.441,282.542,298.773,301.639,124.084,225.764,185.127,344.111,EVOLVING,2000.0,72,35,35,433
13,Gamma_LoadFactor;Alpha_HashCollision;Beta_ModuloStep,303.023,333.386,303.441,282.542,298.773,301.639,124.084,225.764,185.127,344.111,EVOLVING,2000.0,72,35,35,468
14,Gamma_Disconnected;Alpha_StarGraph;Alpha_Reversed,303.023,333.386,303.441,351.085,298.773,324.375,365.924,225.764,185.127,344.111,EVOLVING,2000.0,73,34,34,502
15,Alpha_Reversed;Delta_Extremist;Beta_LineChain,303.023,333.386,303.441,351.085,324.544,324.375,386.008,225.764,185.127,344.899,EVOLVING,2000.0,70,35,35,537
16,Beta_AllEqual;Gamma_LoadFactor;Gamma_Sawtooth,303.023,333.386,370.746,351.085,324.544,324.375,386.008,378.969,352.248,344.899,EVOLVING,2000.0,76,37,37,574
17,Alpha_HashCollision;Beta_AllEqual;Alpha_StarGraph,399.31,333.386,370.746,406.686,324.544,324.375,386.008,386.414,352.248,344.899,EVOLVING,2000.0,77,32,32,606
18,Beta_ModuloStep;Gamma_Sawtooth;Gamma_Disconnected,399.31,333.386,370.746,406.686,324.544,336.897,386.008,386.414,396.517,344.899,EVOLVING,2000.0,65,36,36,642
19,Alpha_StarGraph;Beta_AllEqual;Gamma_LoadFactor,399.31,333.386,371.087,406.686,324.544,336.897,386.008,386.414,396.517,344.899,EVOLVING,2000.0,73,33,33,675
20,Gamma_Disconnected;Delta_Extremist;Beta_ModuloStep,399.31,381.479,371.087,406.686,324.544,431.684,386.008,386.414,396.517,396.291,EVOLVING,2000.0,79,32,32,707
21,Alpha_HashCollision;Beta_LineChain;Gamma_LoadFactor,401.934,381.479,424.118,406.686,378.127,431.684,386.008,386.414,396.517,396.291,EVOLVING,2000.0,67,35,35,742
22,Beta_AllEqual;Gamma_LoadFactor;Gamma_Sawtooth,401.934,381.479,424.118,406.686,378.127,431.684,386.008,386.414,431.587,396.291,EVOLVING,2000.0,74,35,35,777
23,Delta_Extremist;Beta_LineChain;Gamma_Disconnected,401.934,381.479,424.118,406.686,438.974,436.171,386.008,386.414,431.587,433.489,EVOLVING,2000.0,67,33,33,810
24,Gamma_Disconnected;Beta_AllEqual;Beta_ModuloStep,401.934,381.479,424.118,406.686,438.974,436.171,386.008,387.988,431.587,433.489,EVOLVING,2000.0,79,34,34,844
25,Gamma_Sawtooth;Delta_Extremist;Alpha_Reversed,401.934,381.479,424.118,406.686,438.974,436.171,403.803,387.988,441.783,438.99,EVOLVING,2000.0,75,34,34,878
26,Gamma_Disconnected;Beta_AllEqual;Gamma_LoadFactor,401.934,381.479,424.118,406.686,438.974,436.171,403.803,456.617,441.783,438.99,EVOLVING,2000.0,72,32,32,910
27,Alpha_HashCollision;Gamma_LoadFactor;Delta_Extremist,414.757,381.479,437.471,406.686,438.974,436.171,403.803,456.617,441.783,438.99,EVOLVING,2000.0,65,39,39,949
